,gvkey,adate,qdate,public_date,PE,DPR,ROE,PTB,PEG,DIVY,TICKER,Year,Completeness_Score,,,,,,,
37872,119414,9/30/2022,3/31/2023,7/31/2023,12.509,1.559,0.064,0.842,13.031,12.40%,CFFN,2023,12,,,,,,,
13205,21825,12/31/2022,9/30/2023,12/31/2023,8.223,0.538,0.096,0.741,0.232,5.07%,CFG,2023,12,,,,,,,
26920,37548,12/31/2022,9/30/2023,11/30/2023,221.2,0,-0.013,3.145,0.171,0,CFIV,2023,10,,,,,,,
29676,38931,12/31/2022,9/30/2023,12/31/2023,-15.195,0,-0.594,6.505,0.171,0,CFLT,2023,9,,,,,,,
14498,24084,12/31/2022,6/30/2023,8/31/2023,-0.403,0,-0.711,0.556,-0.001,0,CFMS,2023,10,,,,,,,
1822,3643,12/31/2022,9/30/2023,12/31/2023,10.382,0.36,0.225,2.434,0.402,3.39%,CFR,2023,12,,,,,,,
12822,21223,12/31/2022,6/30/2023,10/31/2023,-0.006,0,-2.782,1.687,0,0,CFRX,2023,9,,,,,,,
31842,39622,6/30/2023,9/30/2023,12/31/2023,43.011,0,0.012,0.564,0.1715,0,CFSB,2023,10,,,,,,,
12863,21241,6/30/2022,12/31/2022,4/30/2023,-0.678,0,-0.366,0.319,-0.01,0,CGA,2023,10,,,,,,,
27200,37675,12/31/2022,9/30/2023,11/30/2023,-2.19,0,-0.297,0.747,0.172,0,CGEM,2023,10,,,,,,,
9363,16188,12/31/2022,9/30/2023,11/30/2023,41.429,0.307,0.093,3.769,22.076,0.80%,CGNX,2023,12,,,,,,,
38852,137373,3/31/2022,9/30/2022,1/31/2023,-1.634,0,-2.015,6.073,-0.008,0,CGRN,2023,10,,,,,,,
30795,39290,12/31/2022,9/30/2023,11/30/2023,-1.405,0,-0.61,1.167,0.172,0,CGTX,2023,9,,,,,,,
41067,161072,12/31/2022,9/30/2023,11/30/2023,6.139,0,0.249,1.186,0.061,0,CHCI,2023,11,,,,,,,
9628,16781,12/31/2022,9/30/2023,12/31/2023,14.1,0.335,0.195,2.68,1.111,2.59%,CHCO,2023,12,,,,,,,
1370,3026,12/31/2021,9/30/2022,1/31/2023,27.043,0.343,0.177,4.455,3.385,1.30%,CHD,2023,12,,,,,,,
1392,3028,12/31/2022,9/30/2023,11/30/2023,24.606,0.075,0.353,6.774,0.004,0.33%,CHDN,2023,12,,,,,,,
1292,2960,12/31/2022,3/31/2023,7/31/2023,32.794,0.093,0.321,8.582,4.505,0.29%,CHE,2023,12,,,,,,,
45723,186960,12/31/2022,6/30/2023,10/31/2023,35.906,0,0.053,1.754,1.929,0,CHEF,2023,11,,,,,,,
33235,40679,12/31/2021,9/30/2022,1/31/2023,-57.333,0,0.03,9.933,0.171,0,CHG,2023,8,,,,,,,
10862,18556,12/31/2022,6/30/2023,10/31/2023,6.491,0,0.281,0.843,0.132,0,CHGG,2023,11,,,,,,,
36307,65615,12/31/2022,9/30/2023,11/30/2023,20.015,0.194,2.108,53.202,0.404,1.04%,CHH,2023,12,,,,,,,
17213,27786,12/31/2022,9/30/2023,11/30/2023,2.176,0.156,0.601,1.025,0.046,4.57%,CHK,2023,12,,,,,,,
10343,17877,12/31/2022,9/30/2023,12/31/2023,8.218,0.203,0.169,1.383,0.448,2.49%,CHMG,2023,12,,,,,,,
28195,38198,1/31/2023,10/31/2023,12/31/2023,-1.887,0,-1.31,2.425,0.171,0,CHPT,2023,9,,,,,,,
21508,33596,12/31/2021,9/30/2022,1/31/2023,-5.521,0,-1.992,0.927,-0.138,0,CHRA,2023,10,,,,,,,
45065,184442,12/31/2022,12/31/2022,4/30/2023,3.209,0.476,0.501,1.264,0,9.77%,CHRD,2023,12,,,,,,,
13230,21841,12/31/2021,9/30/2022,1/31/2023,-2.356,0,-3.467,6.842,0.172,0,CHRS,2023,9,,,,,,,
36296,65609,12/31/2022,9/30/2023,12/31/2023,26.5,0.738,0.266,7.101,1.485,2.82%,CHRW,2023,12,,,,,,,
17473,27981,1/31/2022,10/31/2022,2/28/2023,6.319,0,0.458,2.216,0.029,0,CHS,2023,11,,,,,,,
38393,126136,12/31/2022,9/30/2023,12/31/2023,12.69,0,0.165,1.91,0.331,0,CHTR,2023,11,,,,,,,
45988,187775,12/31/2022,9/30/2023,11/30/2023,22.278,0,0.113,2.451,0.1715,0,CHUY,2023,10,,,,,,,
23304,35287,1/31/2023,4/30/2023,8/31/2023,199.833,0,0.382,10.118,0.749,0,CHWY,2023,11,,,,,,,
21294,33326,12/31/2022,9/30/2023,12/31/2023,19.344,0.208,0.17,3.163,0.587,1.16%,CHX,2023,12,,,,,,,
1033,2547,12/31/2022,9/30/2023,12/31/2023,16.899,0.269,0.101,1.648,1.287,1.64%,CI,2023,12,,,,,,,
9599,16775,12/31/2022,3/31/2023,7/31/2023,9.179,0,0.103,0.817,0.067,0,CIA,2023,11,,,,,,,
40375,155616,3/31/2022,12/31/2022,4/30/2023,-156.56,0,-0.257,2.069,-1.392,0,CIDM,2023,11,,,,,,,
35710,64356,10/31/2023,10/31/2023,12/31/2023,26.322,0,0.092,2.289,1.982,0,CIEN,2023,11,,,,,,,
31533,39538,12/31/2022,9/30/2023,11/30/2023,-7.694,0,-0.25,2.051,0.171,0,CIFR,2023,9,,,,,,,
33024,40475,12/31/2021,9/30/2022,1/31/2023,6.1965,0,0.003,2.44,0.171,0,CINC,2023,8,,,,,,,
9022,14824,12/31/2022,6/30/2023,10/31/2023,11.617,0.318,0.12,1.283,0.068,3.01%,CINF,2023,12,,,,,,,
31817,39620,12/31/2022,9/30/2023,11/30/2023,-3.994,0,-5.159,1.513,0.171,0,CING,2023,9,,,,,,,
38222,124775,12/31/2022,12/31/2022,4/30/2023,29.305,0,0.117,3.198,0.277,0,CIR,2023,11,,,,,,,
24710,36335,12/31/2022,9/30/2023,11/30/2023,-0.272,0,-1.343,1.034,0.171,0,CISO,2023,9,,,,,,,
13059,21593,12/31/2022,9/30/2023,12/31/2023,6.381,0.212,0.136,0.87,0.364,3.47%,CIVB,2023,12,,,,,,,
45964,187698,12/31/2022,9/30/2023,11/30/2023,7.641,0.887,0.138,0.994,0.067,11.60%,CIVI,2023,12,,,,,,,
36866,66602,12/31/2022,9/30/2023,11/30/2023,13.988,0.596,0.128,1.735,0.615,4.26%,CIX,2023,12,,,,,,,
38248,125234,12/31/2022,6/30/2023,10/31/2023,8.805,0.761,0.187,1.429,1.96,6.27%,CIZN,2023,12,,,,,,,
18145,29013,12/31/2021,9/30/2022,1/31/2023,-5.859,0,-2.708,1.605,-0.565,0,CKPT,2023,10,,,,,,,
13751,22861,12/31/2021,9/30/2022,1/31/2023,-62.437,0,-0.018,1.16,-4.536,0,CKX,2023,11,,,,,,,
1501,3170,12/31/2022,9/30/2023,12/31/2023,41.733,1.089,1.622,63.708,0.171,2.41%,CL,2023,11,,,,,,,
45333,185372,12/31/2021,9/30/2022,1/31/2023,15.227,0.144,0.067,0.946,0.537,1.00%,CLAR,2023,12,,,,,,,
34606,61759,12/31/2022,9/30/2023,12/31/2023,20.299,0.045,0.193,3.488,0.171,0.23%,CLB,2023,11,,,,,,,
21058,33056,12/31/2022,9/30/2023,12/31/2023,38.56,0,0.05,2.008,2.682,0,CLBK,2023,11,,,,,,,
28581,38445,,6/30/2023,10/31/2023,6.1715,0,0.028,1.678,0.171,0,CLBR,2023,5,,,,,,,
31407,39501,,9/30/2023,12/31/2023,6.1715,0,0.028,1.678,0.171,0,CLDI,2023,5,,,,,,,
44055,179598,12/31/2022,9/30/2023,11/30/2023,-11.443,0,-0.396,5.75,-1.151,0,CLDX,2023,10,,,,,,,
1427,3107,12/31/2022,6/30/2023,10/31/2023,38.136,0,0.03,1.015,0.036,0,CLF,2023,11,,,,,,,
7809,12482,9/30/2023,9/30/2023,12/31/2023,13.401,0,0.14,1.404,0.144,0,CLFD,2023,11,,,,,,,
8647,14027,12/31/2022,9/30/2023,11/30/2023,24.273,0,0.157,3.451,0.462,0,CLH,2023,11,,,,,,,
42507,171155,12/31/2022,9/30/2023,11/30/2023,-8.857,0,-0.616,8.043,0.171,0,CLIR,2023,9,,,,,,,
34162,61028,12/31/2022,9/30/2023,11/30/2023,18.133,0.26,0.181,3.044,0.363,1.43%,CLMB,2023,12,,,,,,,
43056,176343,12/31/2022,3/31/2023,7/31/2023,-14.939,0,-0.101,1.578,-0.157,0,CLNE,2023,10,,,,,,,
27082,37633,12/31/2022,9/30/2023,11/30/2023,-1.068,0,-3.261,2.628,0.171,0,CLNN,2023,9,,,,,,,
27231,37711,12/31/2022,9/30/2023,11/30/2023,-1.919,0,-0.651,1.144,0.171,0,CLOV,2023,9,,,,,,,
44928,184077,12/31/2022,9/30/2023,11/30/2023,-6.472,0,-0.639,5.886,-0.243,0,CLPT,2023,10,,,,,,,
45736,186974,12/31/2022,9/30/2023,11/30/2023,-0.662,0,-3.601,2.149,-0.003,0,CLRB,2023,10,,,,,,,
10851,18549,12/31/2022,9/30/2023,11/30/2023,0.976,1.391,0.346,0.468,0.1715,0,CLRO,2023,10,,,,,,,
16528,26798,12/31/2022,9/30/2023,11/30/2023,-1.656,0,-3.515,5.943,-0.008,0,CLSD,2023,10,,,,,,,
45700,186904,9/30/2023,9/30/2023,11/30/2023,-4.837,0,-0.244,1.474,0.172,0,CLSK,2023,9,,,,,,,
31121,39376,12/31/2022,9/30/2023,12/31/2023,108.4,0,0.005,0.629,0.172,0,CLST,2023,10,,,,,,,
44507,181931,12/31/2022,6/30/2023,10/31/2023,8.41,0,0.113,0.911,0.029,0,CLW,2023,11,,,,,,,
1433,3121,6/30/2022,12/31/2022,4/30/2023,47.185,1.326,0.928,53.412,3.003,2.85%,CLX,2023,12,,,,,,,
20195,32193,12/31/2022,3/31/2023,7/31/2023,-57.143,0,-1.489,73.457,0.172,0,CLXT,2023,9,,,,,,,
1535,3231,12/31/2022,9/30/2023,12/31/2023,6.328,0.348,0.236,1.608,0.149,5.09%,CMA,2023,12,,,,,,,
29823,38967,12/31/2022,9/30/2023,11/30/2023,-11.027,0,-0.368,0.145,0.172,0,CMAX,2023,9,,,,,,,
1571,3246,8/31/2023,8/31/2023,12/31/2023,6.902,0.087,0.216,1.322,0.097,1.28%,CMC,2023,12,,,,,,,
34781,62221,3/31/2023,9/30/2023,12/31/2023,22.045,0.157,0.061,1.313,0.597,0.72%,CMCO,2023,12,,,,,,,
1523,3226,12/31/2022,9/30/2023,12/31/2023,12.181,0.314,0.137,1.576,0.2,2.65%,CMCSA,2023,12,,,,,,,
39950,149070,12/31/2022,9/30/2023,11/30/2023,26.088,1.076,0.093,2.348,2.218,4.08%,CME,2023,12,,,,,,,
42028,165914,12/31/2022,9/30/2023,12/31/2023,54.258,0,0.451,20.94,0.626,0,CMG,2023,11,,,,,,,
1846,3650,12/31/2022,9/30/2023,12/31/2023,12.21,0.324,0.281,3.014,0.471,2.81%,CMI,2023,12,,,,,,,
37423,112030,12/31/2022,9/30/2023,11/30/2023,-4.31,0,-0.05,0.205,0.171,0,CMLS,2023,10,,,,,,,
40563,157153,9/30/2023,9/30/2023,12/31/2023,68.432,1.638,0.035,1.812,0.171,2.37%,CMP,2023,11,,,,,,,
26107,37153,12/31/2022,9/30/2023,11/30/2023,5.607,-0.336,0.027,1.678,0.171,0,CMPO,2023,8,,,,,,,
26465,37364,12/31/2022,9/30/2023,11/30/2023,-5,0,-0.254,1.314,0.171,0,CMPX,2023,9,,,,,,,
25553,36881,12/31/2022,9/30/2023,11/30/2023,-0.163,0,0.0275,1.68,0.171,0,CMRA,2023,7,,,,,,,
10193,17498,12/31/2022,9/30/2023,11/30/2023,-1.013,0,-0.341,0.415,0.171,0,CMRX,2023,10,,,,,,,
1694,3439,12/31/2022,12/31/2022,4/30/2023,21.923,0.649,0.092,1.947,3.601,3.13%,CMS,2023,12,,,,,,,
8999,14794,12/31/2022,9/30/2023,11/30/2023,6.789,0,0.192,1.162,0.063,0,CMT,2023,11,,,,,,,
1611,3358,7/31/2022,1/31/2023,5/31/2023,-11.366,0,-0.044,0.696,0.171,3.48%,CMTL,2023,10,,,,,,,
1045,2558,12/31/2022,9/30/2023,12/31/2023,10.711,0.725,0.126,1.338,0.238,6.81%,CNA,2023,12,,,,,,,
39583,145552,12/31/2022,9/30/2023,12/31/2023,16.602,0,0.096,1.532,0.359,0,CNC,2023,11,,,,,,,
11666,19534,12/31/2021,9/30/2022,1/31/2023,6.171,0,-1.215,3.893,0.171,0,CNCE,2023,8,,,,,,,
17956,28719,12/31/2022,12/31/2022,4/30/2023,-3.944,0,-0.165,0.767,-0.051,0,CNDT,2023,10,,,,,,,
44605,183224,12/31/2022,9/30/2023,11/30/2023,-0.718,0,-0.691,0.734,-0.003,0,CNET,2023,10,,,,,,,
15322,25105,12/31/2022,12/31/2022,4/30/2023,-1.67,0,-0.359,1.077,-0.012,0,CNFR,2023,10,,,,,,,
43315,177108,12/31/2022,9/30/2023,11/30/2023,23.361,1.411,0.536,4.616,0.171,0,CNK,2023,10,,,,,,,
29509,38870,1/31/2023,10/31/2023,12/31/2023,19.152,0,0.211,4.051,0.171,0,CNM,2023,10,,,,,,,
8468,13623,12/31/2022,9/30/2023,12/31/2023,59.195,0.413,0.07,3.902,0.171,0.73%,CNMD,2023,11,,,,,,,
16312,26364,12/31/2022,12/31/2022,3/31/2023,29.02,2.147,0.033,1.021,0.368,0,CNNB,2023,11,,,,,,,
12647,20960,12/31/2022,12/31/2022,4/30/2023,-3.474,0,-0.138,0.512,-0.01,0,CNNE,2023,10,,,,,,,
7941,12603,12/31/2022,9/30/2023,12/31/2023,11.577,0.243,0.165,1.656,1.302,2.15%,CNO,2023,12,,,,,,,
10283,17724,12/31/2022,9/30/2023,12/31/2023,9.546,0.399,0.094,0.821,0.528,2.97%,CNOB,2023,12,,,,,,,
3365,5742,12/31/2022,9/30/2023,11/30/2023,22.437,0.731,0.064,1.301,0.735,2.83%,CNP,2023,12,,,,,,,
46519,266214,12/31/2022,9/30/2023,12/31/2023,28.47,0.844,0.392,10.151,3.259,3.01%,CNS,2023,12,,,,,,,
41163,162127,12/31/2022,9/30/2023,11/30/2023,-1.686,0,-0.267,0.711,0.171,0,CNSL,2023,9,,,,,,,
23499,35403,12/31/2022,9/30/2023,11/30/2023,-0.269,0,-3.378,1.342,0,0,CNSP,2023,10,,,,,,,
28303,38277,12/31/2021,9/30/2022,1/31/2023,-76.111,0,-0.834,17.95,0.171,0,CNTQ,2023,10,,,,,,,
31865,39633,12/31/2022,9/30/2023,11/30/2023,-0.654,0,-0.661,0.738,0.171,0,CNTX,2023,9,,,,,,,
18301,29151,12/31/2022,9/30/2023,11/30/2023,-6.056,0,-0.146,1.013,0.171,0,CNTY,2023,10,,,,,,,
40382,155616,3/31/2023,9/30/2023,11/30/2023,-7,0,-0.055,0.352,-0.799,0,CNVS,2023,10,,,,,,,
37923,120093,12/31/2022,6/30/2023,10/31/2023,2.291,0,0.652,0.751,4.899,0,CNX,2023,11,,,,,,,
24210,35948,4/30/2022,1/31/2023,5/31/2023,-2.805,0,-0.492,0.169,0.171,0,CNXA,2023,9,,,,,,,
26490,37382,11/30/2022,8/31/2023,12/31/2023,14.702,0.167,0.122,2.208,3.603,1.23%,CNXC,2023,12,,,,,,,
36830,66586,12/31/2022,9/30/2023,11/30/2023,20.145,0.195,0.099,1.871,1.818,0.54%,CNXN,2023,12,,,,,,,
32093,39749,12/31/2022,9/30/2023,11/30/2023,44.54,0,0.245,8.269,0.1705,0,COCO,2023,10,,,,,,,
11589,19467,12/31/2022,9/30/2023,11/30/2023,-0.964,0,-0.472,0.63,-0.006,0,COCP,2023,10,,,,,,,
44702,183547,10/31/2023,10/31/2023,12/31/2023,21.5,0,0.068,1.382,9.606,0,CODA,2023,11,,,,,,,
19766,31542,12/31/2022,6/30/2023,10/31/2023,-0.811,0,-0.294,0.317,-0.013,0,CODX,2023,10,,,,,,,
28004,38082,12/31/2022,9/30/2023,11/30/2023,-1.286,0,-13.583,7.962,0.171,0,COEP,2023,9,,,,,,,
19372,30990,12/31/2022,9/30/2023,12/31/2023,9.851,0.271,0.112,1.023,0.026,1.83%,COF,2023,12,,,,,,,
36807,66453,12/31/2022,9/30/2023,12/31/2023,9.734,0.345,0.135,1.22,0.62,3.69%,COFS,2023,12,,,,,,,
25659,36949,12/31/2022,6/30/2023,10/31/2023,-3.709,0,-0.764,2.456,-0.016,0,COGT,2023,10,,,,,,,
42893,175674,12/31/2021,9/30/2022,1/31/2023,-1.802,0.059,-0.112,0.305,0,11.30%,COHN,2023,12,,,,,,,
8911,14561,6/30/2022,3/31/2023,7/31/2023,-41.183,0,-0.009,1.256,0.171,0,COHR,2023,10,,,,,,,
1484,3158,12/31/2022,3/31/2023,7/31/2023,23.218,0,0.099,2.16,0.362,0,COHU,2023,11,,,,,,,
22652,34749,12/31/2021,9/30/2022,1/31/2023,-9.634,0,-0.204,1.9,0.171,0,COIN,2023,10,,,,,,,
1452,3138,12/31/2022,9/30/2023,11/30/2023,15.306,0.099,0.335,3.685,0.205,0.27%,COKE,2023,12,,,,,,,
15573,25376,12/31/2022,12/31/2022,2/28/2023,9.291,0.377,0.104,2.794,1.152,4.04%,COLB,2023,12,,,,,,,
21015,32980,12/31/2022,9/30/2023,11/30/2023,-80.657,0,-0.025,1.973,-0.279,3.12%,COLD,2023,11,,,,,,,
14224,23555,12/31/2022,9/30/2023,11/30/2023,102.52,0,0.047,4.673,1.842,0,COLL,2023,11,,,,,,,
36987,105936,12/31/2022,9/30/2023,12/31/2023,17.367,0.26,0.15,2.539,0.36,1.51%,COLM,2023,12,,,,,,,
10426,18036,12/31/2021,9/30/2022,1/31/2023,-5.35,0,-3.168,33.921,-1.337,0,COMM,2023,10,,,,,,,
28691,38488,12/31/2022,9/30/2023,11/30/2023,-2.523,0,-0.768,2.262,0.1705,0,COMP,2023,9,,,,,,,
27968,38077,12/31/2022,9/30/2023,11/30/2023,-0.044,0,-3.183,1.69,0,0,COMS,2023,9,,,,,,,
40491,156614,1/31/2023,10/31/2023,12/31/2023,-0.657,0,-0.333,0.278,-0.003,0,CONN,2023,10,,,,,,,
26364,37332,12/31/2022,9/30/2023,11/30/2023,-217.14,0,-0.006,0.432,0.171,0,CONX,2023,10,,,,,,,
1714,3504,10/31/2023,10/31/2023,12/31/2023,64.034,0.01,0.039,2.449,0.188,0.02%,COO,2023,12,,,,,,,
30911,39317,12/31/2022,9/30/2023,11/30/2023,-3.068,0,-0.256,0.875,0.171,0,COOK,2023,9,,,,,,,
8599,13888,12/31/2022,9/30/2023,11/30/2023,9.184,0,0.112,0.926,0.263,0,COOP,2023,11,,,,,,,
5364,8549,12/31/2022,6/30/2023,10/31/2023,11.445,0.522,0.23,2.56,0.039,3.82%,COP,2023,12,,,,,,,
19908,31673,9/30/2023,9/30/2023,12/31/2023,24.077,0.228,0.028,18.91,0.171,0.99%,COR,2023,10,,,,,,,
39637,146616,12/31/2022,12/31/2022,4/30/2023,25.897,0,0.231,4.56,6.047,0,CORT,2023,11,,,,,,,
27588,37871,,9/30/2022,1/31/2023,6.172,0,0.0275,1.824,0.1705,0,CORZ,2023,6,,,,,,,
11085,18874,12/31/2022,9/30/2023,11/30/2023,-0.134,0,-0.479,0.315,0.1705,0,COSM,2023,9,,,,,,,
18182,29028,8/31/2023,8/31/2023,12/31/2023,46.616,0.27,0.267,11.331,2.837,0.62%,COST,2023,12,,,,,,,
7585,12151,6/30/2023,9/30/2023,12/31/2023,29.571,0.072,0.09,2.515,1.008,0,COTY,2023,11,,,,,,,
17544,28084,1/31/2022,10/31/2022,1/31/2023,6.1715,0,-0.544,21.444,0.169,0,COUP,2023,8,,,,,,,
28290,38265,12/31/2022,9/30/2023,12/31/2023,-19.566,0,-0.218,4.817,0.169,0,COUR,2023,9,,,,,,,
44821,183797,12/31/2022,12/31/2022,2/28/2023,17.643,0.233,0.074,1.035,0.048,1.23%,COWN,2023,12,,,,,,,
33824,41878,12/31/2022,9/30/2023,11/30/2023,-4.23,0,7.101,5.299,0.17,0,COYA,2023,9,,,,,,,
1165,2663,7/31/2023,10/31/2023,12/31/2023,16.252,0.561,0.171,2.668,3.179,3.42%,CPB,2023,12,,,,,,,
9130,15060,12/31/2022,6/30/2023,10/31/2023,2.605,0,0.301,0.719,0.011,0,CPE,2023,11,,,,,,,
9544,16705,12/31/2022,9/30/2023,12/31/2023,8.339,0.44,0.139,1.136,0.336,5.28%,CPF,2023,12,,,,,,,
19443,31099,12/31/2022,9/30/2023,11/30/2023,9.175,0.134,0.126,1.066,0.075,1.47%,CPHC,2023,12,,,,,,,
39837,148239,12/31/2022,9/30/2023,11/30/2023,-0.298,0,-0.65,0.545,-0.003,0,CPHI,2023,10,,,,,,,
43579,178097,12/31/2022,9/30/2023,11/30/2023,-9.647,0,-0.065,0.65,-1.331,0,CPIX,2023,10,,,,,,,
1320,2986,12/31/2022,9/30/2023,11/30/2023,19.352,0.441,0.08,1.83,2.578,2.47%,CPK,2023,12,,,,,,,
28031,38092,12/31/2022,9/30/2023,11/30/2023,63.667,0.015,0.173,8.416,0.1705,0,CPNG,2023,10,,,,,,,
18777,29901,7/31/2023,7/31/2023,11/30/2023,39.234,0,0.23,7.935,1.89,0,CPRT,2023,11,,,,,,,
42975,175966,12/31/2022,9/30/2023,11/30/2023,26.236,0,0.194,4.414,16.456,0,CPRX,2023,11,,,,,,,
41554,163765,12/31/2022,6/30/2023,10/31/2023,-0.768,0,-1.6,1.861,-0.026,0,CPS,2023,10,,,,,,,
8443,13582,12/31/2022,9/30/2023,11/30/2023,23.3,0,0.093,1.972,20.284,0,CPSH,2023,11,,,,,,,
39767,147849,12/31/2021,9/30/2022,1/31/2023,22.953,0,0.077,1.7,4.008,0,CPSI,2023,11,,,,,,,
15825,25852,12/31/2022,9/30/2023,11/30/2023,4.514,0,0.221,0.753,0.069,0,CPSS,2023,11,,,,,,,
27639,37908,12/31/2022,9/30/2023,11/30/2023,-0.817,0,-7.888,28.142,0.169,0,CPTN,2023,10,,,,,,,
27487,37819,12/31/2022,6/30/2023,9/30/2023,-0.705,0,-0.115,2.369,0.169,0,CPUH,2023,9,,,,,,,
1762,3580,12/31/2022,9/30/2023,12/31/2023,34.85,0.378,0.105,5.109,0.024,0.61%,CR,2023,12,,,,,,,
37195,109919,12/31/2022,9/30/2023,11/30/2023,19.068,0.294,0.175,3.176,0.703,1.77%,CRAI,2023,12,,,,,,,
33377,41084,12/31/2022,9/30/2023,11/30/2023,7.379,0.618,0.195,1.586,0.169,4.37%,CRBG,2023,11,,,,,,,
13324,22035,12/31/2022,9/30/2023,11/30/2023,-0.596,0,-1.881,53.202,-0.001,0,CRBP,2023,10,,,,,,,
30807,39291,12/31/2022,9/30/2023,11/30/2023,-4.134,0,-0.322,1.302,0.17,0,CRBU,2023,9,,,,,,,
12947,21431,12/31/2022,12/31/2022,4/30/2023,6,0.116,0.295,1.545,0.157,2.79%,CRC,2023,12,,,,,,,
45096,184470,12/31/2022,9/30/2023,11/30/2023,28.75,5.519,0.082,0.688,0.1705,0,CRCT,2023,10,,,,,,,
1763,3581,12/31/2021,9/30/2022,1/31/2023,-107.83,0.413,-0.013,1.134,-4.913,3.71%,CRD,2023,12,,,,,,,
40358,155387,12/31/2022,9/30/2023,11/30/2023,-1.337,0,-0.405,0.706,0.171,0,CRDF,2023,9,,,,,,,
39570,145407,12/31/2022,9/30/2023,11/30/2023,-2.135,0,-0.035,0.136,0.171,0,CREG,2023,9,,,,,,,
13046,21554,12/31/2022,9/30/2023,11/30/2023,-2.595,0,-0.226,0.729,0.171,0,CREX,2023,10,,,,,,,
43010,176064,12/31/2022,9/30/2023,11/30/2023,-0.694,0,-1.515,1.423,0.171,0,CRGE,2023,9,,,,,,,
32962,40383,12/31/2022,9/30/2023,11/30/2023,29.231,1.502,0.018,0.55,0.171,4.21%,CRGY,2023,11,,,,,,,
40094,150278,12/31/2022,9/30/2023,11/30/2023,12.466,0.558,0.247,3.038,0.307,4.40%,CRI,2023,12,,,,,,,
38967,138341,12/31/2022,9/30/2023,12/31/2023,-1.362,0,-1.139,2.54,-0.003,0,CRIS,2023,10,,,,,,,
21982,34010,12/31/2022,9/30/2023,11/30/2023,4.406,0.235,0.243,1.004,0.655,5.07%,CRK,2023,12,,,,,,,
24745,36357,12/31/2022,9/30/2023,11/30/2023,-0.009,0,-5.606,0.495,0.1705,0,CRKN,2023,9,,,,,,,
38821,137131,12/31/2022,9/30/2023,11/30/2023,21.352,0,0.148,2.896,1.351,0,CRL,2023,11,,,,,,,
40623,157855,1/31/2023,10/31/2023,12/31/2023,100.053,0,0.044,4.385,0.428,0,CRM,2023,11,,,,,,,
44880,183945,12/31/2022,9/30/2023,11/30/2023,-3.824,0,-0.743,2.141,-1.328,0,CRMD,2023,10,,,,,,,
8452,13602,4/30/2023,4/30/2023,8/31/2023,35.791,0,0.039,1.321,6.512,0,CRMT,2023,11,,,,,,,
23766,35614,9/30/2023,9/30/2023,12/31/2023,-14.043,0,-0.08,1.163,0.169,0,CRNC,2023,9,,,,,,,
21765,33723,12/31/2022,9/30/2023,11/30/2023,-8.71,0,-0.664,3.877,-0.551,0,CRNX,2023,10,,,,,,,
41847,164755,12/31/2022,9/30/2023,11/30/2023,9.734,0,0.561,4.266,0.069,0,CROX,2023,11,,,,,,,
1213,2787,6/30/2023,9/30/2023,12/31/2023,32.627,0.368,0.071,2.179,0.1705,1.13%,CRS,2023,11,,,,,,,
25974,37090,12/31/2022,9/30/2023,11/30/2023,143.444,0,-0.005,1.998,0.1705,0,CRSR,2023,10,,,,,,,
9400,16401,3/31/2023,9/30/2023,12/31/2023,33.68,0,0.084,2.625,2.212,0,CRUS,2023,11,,,,,,,
14618,24225,3/31/2023,9/30/2023,12/31/2023,57.625,0,0.372,19,2.326,0,CRVL,2023,11,,,,,,,
16540,26809,12/31/2022,9/30/2023,11/30/2023,-1.825,0,-0.208,5.809,-0.005,0,CRVO,2023,10,,,,,,,
16643,26895,12/31/2022,6/30/2023,10/31/2023,-1.345,0,-0.624,1.12,-0.001,0,CRVS,2023,10,,,,,,,
23172,35182,1/31/2023,4/30/2023,8/31/2023,-204.5,0,-0.118,22.958,-7.289,0,CRWD,2023,10,,,,,,,
1805,3622,3/31/2023,3/31/2023,7/31/2023,8.964,0.572,0.117,1.019,2.104,6.37%,CRWS,2023,12,,,,,,,
9101,14983,4/30/2022,1/31/2023,5/31/2023,-22.652,0,-0.342,9.989,0.1705,0,CSBR,2023,10,,,,,,,
12571,20779,7/31/2023,10/31/2023,12/31/2023,15.263,0.466,0.322,4.541,1.439,3.09%,CSCO,2023,12,,,,,,,
37428,112111,12/31/2022,12/31/2022,4/30/2023,82.742,0,0.058,4.526,12.783,0,CSGP,2023,11,,,,,,,
34817,62266,12/31/2022,9/30/2023,12/31/2023,22.079,0.465,0.203,6.058,1.398,2.10%,CSGS,2023,12,,,,,,,
43962,179413,6/30/2022,12/31/2022,2/28/2023,-20.32,0,-0.151,3.455,-0.262,0,CSII,2023,10,,,,,,,
1201,2771,12/31/2022,9/30/2023,12/31/2023,23.58,0.233,0.217,5.202,0.519,1.09%,CSL,2023,12,,,,,,,
27904,38059,,9/30/2023,12/31/2023,6.171,0,0.027,1.671,0.168,0,CSLR,2023,5,,,,,,,
1056,2573,9/30/2023,9/30/2023,11/30/2023,22.89,0.134,0.122,2.556,0.087,0.64%,CSPI,2023,12,,,,,,,
20345,32322,12/31/2022,9/30/2023,11/30/2023,-0.012,0,-8.65,0.136,0,0,CSSE,2023,10,,,,,,,
23487,35396,12/31/2022,9/30/2023,11/30/2023,-7.064,0,-0.192,1.393,-0.031,0,CSTL,2023,10,,,,,,,
